Time;SP_500;Gold;Vix;RF;P1_risk;P1_Currency
09.06.03 00:00;975.77;361.85;22.465;1.14;43.45683352;2.161604172
10.06.03 00:00;984.73;352.15;21.255;1.1;42.73428243;2.159336143
11.06.03 00:00;997.29;355.65;20.41;1.07;43.63648809;2.175802682
12.06.03 00:00;998.55;353.45;20.715;1.02;42.8272206;2.179960098
13.06.03 00:00;988.43;356.65;20.7;0.92;43.49336212;2.194906148
16.06.03 00:00;1010.63;359.15;20.75;0.93;43.80666819;2.189622645
17.06.03 00:00;1011.54;363.35;20.165;0.93;42.22405225;2.192051565
18.06.03 00:00;1009.88;357.35;20.035;0.9;41.90781562;2.18453977
19.06.03 00:00;994.65;361.35;19.75;0.83;42.08928497;2.184029673
20.06.03 00:00;995.57;357.375;19.24;0.81;42.7314221;2.167054425
23.06.03 00:00;981.44;353;20.575;0.83;42.63946443;2.166278224
24.06.03 00:00;983.61;346.8;20.565;0.82;42.98209623;2.160535511
25.06.03 00:00;975.51;347.4;20.865;0.92;43.21739409;2.167677776
26.06.03 00:00;985.74;344.15;19.935;0.86;43.25012391;2.14888155
27.06.03 00:00;976.17;345.25;19.255;0.8;43.09687723;2.150605746
30.06.03 00:00;974.48;346.4;19.42;0.81;42.67305961;2.16034488
01.07.03 00:00;982.29;350.75;20.045;0.89;42.39494457;2.169412559
02.07.03 00:00;993.36;351.5;19.12;0.87;43.77540409;2.174456703
03.07.03 00:00;985.82;351.15;19.295;0.87;43.71108659;2.17291627
07.07.03 00:00;1004.39;348.25;20.08;0.9;44.82093563;2.149271697
08.07.03 00:00;1007.67;344.45;19.71;0.92;44.44017446;2.132847791
09.07.03 00:00;1002.07;344.55;19.28;0.9;44.87900117;2.132630059
10.07.03 00:00;988.6;345.45;19.275;0.89;45.05375909;2.132657124
11.07.03 00:00;998.01;345.2;18.575;0.89;45.09350534;2.125647019
14.07.03 00:00;1003.85;347.3;19.185;0.88;43.12692044;2.120067829
15.07.03 00:00;1000.35;342.15;19.655;0.88;44.73517888;2.095493077
16.07.03 00:00;994;343.55;19.905;0.85;45.57315646;2.106234794
17.07.03 00:00;981.63;344.75;20.125;0.84;44.70367371;2.103950369
18.07.03 00:00;993.06;347.25;19.65;0.84;44.93322455;2.099000133
21.07.03 00:00;978.64;351.75;20.07;0.86;45.34233693;2.111607781
22.07.03 00:00;988.04;350.75;19.585;0.89;44.41876042;2.104074209
23.07.03 00:00;988.64;359.65;19.1;0.9;45.03731819;2.128494166
24.07.03 00:00;981.57;361.65;18.265;0.91;45.15538909;2.136451282
25.07.03 00:00;998.61;362.75;18.265;0.92;44.69239539;2.141218294
28.07.03 00:00;996.62;365.15;18.505;0.97;44.08780963;2.140163536
29.07.03 00:00;989.26;361.85;18.91;0.99;44.09269782;2.135288545
30.07.03 00:00;987.58;356.35;18.88;0.94;43.7017435;2.116054534
31.07.03 00:00;990.12;354.35;18.97;0.91;44.60543146;2.104438467
01.08.03 00:00;980.08;346.15;20.415;0.91;48.64693028;2.111502312
04.08.03 00:00;982.71;349.45;22.055;0.91;49.41673907;2.115175604
05.08.03 00:00;965.27;352.05;22.02;0.93;51.38712833;2.119454925
06.08.03 00:00;966.94;351.75;22.685;0.92;48.42696191;2.112318441
07.08.03 00:00;974.07;352.85;20.905;0.91;49.53266221;2.121988912
08.08.03 00:00;977.64;356.75;19.845;0.91;48.95157238;2.113390554
11.08.03 00:00;980.49;361.85;19.91;0.92;48.45481918;2.124625633
12.08.03 00:00;990.33;358.45;18.65;0.93;48.00873745;2.114612352
13.08.03 00:00;983.89;362.7;18.52;0.95;48.70944144;2.121301833
14.08.03 00:00;990.4;365.95;18.58;0.96;48.30005267;2.111350523
15.08.03 00:00;990.45;363.75;18.545;0.92;48.513306;2.114031488
18.08.03 00:00;999.81;358.35;18.43;0.97;49.43999503;2.099180038
19.08.03 00:00;1002.49;362.05;18.085;0.96;48.39671268;2.095195556
20.08.03 00:00;1000.21;366.25;18.07;0.94;47.01358309;2.099044932
21.08.03 00:00;1003.34;360.75;17.91;0.95;47.41178253;2.073956323
22.08.03 00:00;992.88;362.95;18.18;0.96;46.16480835;2.069986231
25.08.03 00:00;993.43;361.25;19.395;0.97;45.56011704;2.066635736
26.08.03 00:00;996.67;364.45;19.875;1.01;45.95319289;2.061881753
27.08.03 00:00;996.96;372.55;19.51;1;45.7828576;2.058621085
28.08.03 00:00;1002.83;369.65;19.02;0.99;45.11208572;2.062962189
29.08.03 00:00;1007.97;375.55;18.635;0.98;45.00543849;2.077870322
02.09.03 00:00;1022.03;371.95;19.39;0.98;44.0714618;2.051040785
03.09.03 00:00;1026.1;373.85;19.395;0.98;42.55403985;2.060651344
04.09.03 00:00;1027.93;373.35;19.17;0.96;42.40111849;2.074233004
05.09.03 00:00;1021.2;377.35;18.42;0.95;42.88643129;2.093785539
08.09.03 00:00;1031.57;375.25;18.42;0.95;43.13424397;2.087657635
09.09.03 00:00;1023.1;382.65;18.795;0.95;42.57087601;2.110226627
10.09.03 00:00;1010.76;380.45;19.705;0.94;42.37171341;2.106449412
11.09.03 00:00;1016.36;380.15;19.605;0.93;42.2266497;2.108786762
12.09.03 00:00;1018.54;375.25;19.585;0.91;42.18552001;2.118478433
15.09.03 00:00;1014.72;374.05;19.1;0.91;42.11989357;2.11914793
16.09.03 00:00;1029.21;373.25;18.445;0.91;41.85427564;2.105421984
17.09.03 00:00;1025.84;376.75;18.11;0.9;41.54060106;2.120835098
18.09.03 00:00;1039.4;376.35;17.855;0.89;41.54699096;2.121694465
