DATE,DTWEXB
2014-11-14,107.6250
2014-11-17,107.7355
2014-11-18,107.5225
2014-11-19,107.7618
2014-11-20,107.7797
2014-11-21,107.8131
2014-11-24,107.9531
2014-11-25,107.8236
2014-11-26,107.7566
2014-11-27,.
2014-11-28,108.6666
2014-12-01,108.5640
2014-12-02,109.1414
2014-12-03,109.2673
2014-12-04,109.1108
2014-12-05,109.7930
2014-12-08,110.0417
2014-12-09,109.5609
2014-12-10,109.7635
2014-12-11,110.2142
2014-12-12,110.1817
2014-12-15,110.5473
2014-12-16,110.4271
2014-12-17,110.3832
2014-12-18,110.6174
2014-12-19,110.8856
2014-12-22,110.7806
2014-12-23,111.1277
2014-12-24,111.0607
2014-12-25,.
2014-12-26,.
2014-12-29,111.2006
2014-12-30,110.8747
2014-12-31,111.1469
2015-01-01,.
2015-01-02,111.7093
2015-01-05,112.3496
2015-01-06,112.1257
2015-01-07,112.4579
2015-01-08,112.0838
2015-01-09,111.9293
2015-01-12,112.0423
2015-01-13,112.0863
2015-01-14,111.9014
2015-01-15,111.9152
2015-01-16,112.0834
2015-01-19,.
2015-01-20,112.4127
2015-01-21,112.6293
2015-01-22,112.7430
2015-01-23,113.1843
2015-01-26,113.3870
2015-01-27,113.0411
2015-01-28,113.3728
2015-01-29,114.1712
2015-01-30,114.4945
2015-02-02,114.1131
2015-02-03,113.4901
2015-02-04,113.6620
2015-02-05,113.3871
2015-02-06,114.0195
2015-02-09,113.8706
2015-02-10,114.1625
2015-02-11,114.6676
2015-02-12,113.8361
2015-02-13,113.7119
2015-02-16,.
2015-02-17,.
2015-02-18,114.1471
2015-02-19,114.0344
2015-02-20,114.2275
2015-02-23,114.4443
2015-02-24,114.4412
2015-02-25,113.9378
2015-02-26,114.3624
2015-02-27,114.4916
2015-03-02,114.7125
2015-03-03,114.4476
2015-03-04,115.0135
2015-03-05,.
2015-03-06,116.2662
2015-03-09,116.3643
2015-03-10,116.9908
2015-03-11,117.3705
2015-03-12,117.0055
2015-03-13,117.7365
2015-03-16,117.4684
2015-03-17,117.3692
2015-03-18,117.1398
2015-03-19,116.8682
2015-03-20,115.8916
2015-03-23,115.2237
2015-03-24,115.1216
2015-03-25,114.9544
2015-03-26,115.2423
2015-03-27,115.5844
2015-03-30,116.0591
2015-03-31,116.1075
2015-04-01,115.7077
2015-04-02,115.2963
2015-04-03,114.5132
2015-04-06,114.3974
2015-04-07,115.0616
2015-04-08,115.0335
2015-04-09,115.6036
2015-04-10,116.0401
2015-04-13,116.3444
2015-04-14,115.6385
2015-04-15,115.7557
2015-04-16,114.8570
2015-04-17,114.9319
2015-04-20,115.1160
2015-04-21,115.1896
2015-04-22,115.1901
2015-04-23,114.7776
2015-04-24,114.5064
2015-04-27,114.3473
2015-04-28,113.7630
2015-04-29,113.2218
2015-04-30,113.9662
2015-05-01,114.2812
2015-05-04,114.3277
2015-05-05,113.8984
2015-05-06,113.3476
2015-05-07,113.8579
2015-05-08,113.5412
2015-05-11,114.0357
2015-05-12,113.6217
2015-05-13,113.0735
2015-05-14,112.9426
2015-05-15,112.7121
2015-05-18,113.2723
2015-05-19,114.0043
2015-05-20,114.2327
2015-05-21,114.0483
2015-05-22,114.4895
2015-05-25,.
2015-05-26,115.3923
2015-05-27,115.5753
2015-05-28,115.5979
2015-05-29,115.4174
2015-06-01,115.9124
2015-06-02,115.1597
2015-06-03,114.8626
2015-06-04,115.2319
2015-06-05,115.9022
2015-06-08,115.5589
2015-06-09,115.0165
2015-06-10,114.5813
2015-06-11,114.8749
2015-06-12,114.7036
2015-06-15,114.7919
2015-06-16,114.8388
2015-06-17,114.8689
2015-06-18,113.9015
2015-06-19,114.2574
2015-06-22,114.1814
2015-06-23,114.7582
2015-06-24,115.0461
2015-06-25,114.9605
2015-06-26,115.2353
2015-06-29,115.2123
2015-06-30,115.3208
2015-07-01,115.8039
2015-07-02,115.7046
2015-07-03,.
2015-07-06,115.9517
2015-07-07,116.5795
2015-07-08,116.2565
2015-07-09,116.3419
2015-07-10,116.0040
2015-07-13,116.3813
2015-07-14,116.3027
2015-07-15,116.8273
2015-07-16,116.9869
2015-07-17,117.3480
2015-07-20,117.5188
2015-07-21,117.2064
2015-07-22,117.6152
2015-07-23,117.5919
2015-07-24,117.8650
2015-07-27,117.5653
2015-07-28,117.5665
2015-07-29,117.4742
2015-07-30,118.3233
2015-07-31,117.6783
2015-08-03,118.1303
2015-08-04,118.1359
2015-08-05,118.7752
2015-08-06,118.6447
2015-08-07,118.3575
2015-08-10,118.1152
2015-08-11,119.0643
2015-08-12,118.6997
2015-08-13,119.1323
2015-08-14,119.1591
2015-08-17,119.4079
2015-08-18,119.5274
2015-08-19,119.7026
2015-08-20,119.4028
2015-08-21,119.4568
2015-08-24,119.2763
2015-08-25,119.6573
2015-08-26,119.8613
2015-08-27,119.7096
2015-08-28,119.8615
2015-08-31,119.7278
2015-09-01,119.6130
2015-09-02,119.9426
2015-09-03,120.0050
2015-09-04,120.2631
2015-09-07,.
2015-09-08,120.0126
2015-09-09,120.1495
2015-09-10,119.8625
2015-09-11,119.8260
2015-09-14,119.6996
2015-09-15,119.8163
2015-09-16,119.2832
2015-09-17,119.2802
